"Identifiant","Niveau_de_Satisfaction","Probabilite_de_Recommandation"
1,"Très Insatisfait",1
2,"Très Insatisfait",4
3,"Très Insatisfait",1
4,"Insatisfait",2
5,"Insatisfait",1
6,"Neutre",3
7,"Insatisfait",3
8,"Très Insatisfait",2
9,"Très Insatisfait",3
10,"Très Insatisfait",3
11,"Très Satisfait",1
12,"Très Insatisfait",2
13,"Insatisfait",2
14,"Neutre",4
15,"Satisfait",4
16,"Très Insatisfait",1
17,"Neutre",2
18,"Très Insatisfait",2
19,"Insatisfait",3
20,"Très Insatisfait",1
21,"Satisfait",3
22,"Insatisfait",3
23,"Satisfait",4
24,"Très Insatisfait",1
25,"Très Insatisfait",3
26,"Très Insatisfait",3
27,"Neutre",2
28,"Insatisfait",4
29,"Insatisfait",1
30,"Neutre",1
31,"Insatisfait",3
32,"Insatisfait",2
33,"Insatisfait",1
34,"Très Insatisfait",1
35,"Très Insatisfait",3
36,"Neutre",3
37,"Neutre",3
38,"Satisfait",4
39,"Satisfait",4
40,"Neutre",2
41,"Insatisfait",2
42,"Très Insatisfait",1
43,"Insatisfait",1
44,"Neutre",4
45,"Satisfait",4
46,"Satisfait",2
47,"Très Satisfait",4
48,"Très Insatisfait",2
49,"Très Insatisfait",2
50,"Insatisfait",3
51,"Insatisfait",2
52,"Très Insatisfait",1
53,"Satisfait",1
54,"Très Insatisfait",1
55,"Satisfait",4
56,"Très Insatisfait",3
57,"Neutre",3
58,"Neutre",2
59,"Neutre",2
60,"Neutre",1
61,"Très Insatisfait",4
62,"Très Satisfait",4
63,"Neutre",3
64,"Très Satisfait",4
65,"Très Insatisfait",2
66,"Très Insatisfait",3
67,"Insatisfait",1
68,"Très Insatisfait",4
69,"Très Satisfait",3
70,"Satisfait",3
71,"Très Insatisfait",3
72,"Satisfait",2
73,"Neutre",3
74,"Insatisfait",1
75,"Neutre",3
76,"Neutre",2
77,"Insatisfait",2
78,"Insatisfait",2
79,"Satisfait",2
80,"Très Insatisfait",2
81,"Très Insatisfait",3
82,"Neutre",4
83,"Neutre",3
84,"Très Insatisfait",1
85,"Insatisfait",2
86,"Neutre",4
87,"Insatisfait",4
88,"Satisfait",4
89,"Neutre",3
90,"Insatisfait",1
91,"Très Insatisfait",4
92,"Insatisfait",3
93,"Très Insatisfait",2
94,"Très Insatisfait",1
95,"Insatisfait",3
96,"Neutre",3
97,"Satisfait",4
98,"Insatisfait",1
99,"Insatisfait",2
100,"Très Insatisfait",1
101,"Neutre",3
102,"Insatisfait",4
103,"Insatisfait",1
104,"Satisfait",2
105,"Neutre",4
106,"Neutre",3
107,"Très Insatisfait",3
108,"Très Insatisfait",1
109,"Très Satisfait",2
110,"Très Satisfait",4
111,"Neutre",4
112,"Très Insatisfait",1
113,"Très Insatisfait",2
114,"Insatisfait",2
115,"Insatisfait",1
116,"Très Insatisfait",4
117,"Neutre",4
118,"Très Insatisfait",4
119,"Neutre",2
120,"Très Satisfait",3
121,"Satisfait",4
122,"Neutre",4
123,"Très Insatisfait",3
124,"Très Insatisfait",4
125,"Très Satisfait",3
126,"Très Insatisfait",3
127,"Très Satisfait",2
128,"Insatisfait",2
129,"Insatisfait",1
130,"Satisfait",1
131,"Très Insatisfait",1
132,"Insatisfait",2
133,"Très Insatisfait",3
134,"Très Insatisfait",1
135,"Neutre",3
136,"Insatisfait",1
137,"Insatisfait",2
138,"Très Satisfait",4
139,"Satisfait",3
140,"Insatisfait",2
141,"Neutre",1
142,"Très Insatisfait",1
143,"Insatisfait",1
144,"Très Insatisfait",1
145,"Très Insatisfait",1
146,"Très Insatisfait",1
147,"Très Insatisfait",1
148,"Insatisfait",4
149,"Neutre",4
150,"Neutre",3
151,"Insatisfait",3
152,"Satisfait",2
153,"Neutre",3
154,"Très Insatisfait",1
155,"Insatisfait",2
156,"Insatisfait",1
157,"Insatisfait",2
158,"Très Satisfait",4
159,"Très Insatisfait",1
160,"Insatisfait",2
161,"Satisfait",4
162,"Très Insatisfait",1
163,"Neutre",2
164,"Neutre",4
165,"Insatisfait",1
166,"Satisfait",2
167,"Très Insatisfait",2
168,"Satisfait",3
169,"Neutre",4
170,"Insatisfait",1
171,"Très Insatisfait",2
172,"Insatisfait",1
173,"Très Insatisfait",1
174,"Insatisfait",3
175,"Très Satisfait",4
176,"Très Insatisfait",1
177,"Insatisfait",4
178,"Très Satisfait",4
179,"Très Insatisfait",3
180,"Neutre",2
181,"Satisfait",4
182,"Neutre",2
183,"Très Insatisfait",2
184,"Insatisfait",1
185,"Neutre",4
186,"Très Insatisfait",2
187,"Très Satisfait",4
188,"Neutre",4
189,"Très Insatisfait",2
190,"Neutre",2
191,"Neutre",3
192,"Très Insatisfait",2
193,"Neutre",4
194,"Satisfait",1
195,"Très Satisfait",1
196,"Neutre",2
197,"Neutre",4
198,"Insatisfait",2
199,"Insatisfait",3
200,"Très Insatisfait",1
201,"Très Satisfait",4
202,"Neutre",3
203,"Neutre",2
204,"Très Insatisfait",1
205,"Très Insatisfait",1
206,"Insatisfait",2
207,"Très Insatisfait",1
208,"Neutre",3
209,"Insatisfait",1
210,"Très Insatisfait",2
211,"Insatisfait",2
212,"Neutre",4
213,"Très Insatisfait",4
214,"Très Insatisfait",2
215,"Insatisfait",3
216,"Très Insatisfait",1
217,"Très Insatisfait",4
218,"Neutre",4
219,"Insatisfait",3
220,"Insatisfait",1
221,"Très Insatisfait",3
222,"Neutre",4
223,"Très Satisfait",2
224,"Très Insatisfait",2
225,"Satisfait",3
226,"Très Insatisfait",3
227,"Très Insatisfait",1
228,"Insatisfait",2
229,"Très Satisfait",4
230,"Très Insatisfait",2
231,"Neutre",4
232,"Très Satisfait",4
233,"Insatisfait",2
234,"Neutre",3
235,"Insatisfait",3
236,"Insatisfait",2
237,"Satisfait",2
238,"Très Insatisfait",2
239,"Très Insatisfait",2
240,"Satisfait",3
