"Depenses_Publicitaires","Ventes"
4159.28653017168,20486.2621408124
4654.73376577508,21884.2912097929
7338.06247122369,31978.2269325177
5105.76258713686,25052.9374956971
5193.93160274142,20483.1092587234
7572.59748032492,34798.9393524135
5691.3743089838,27573.5743989218
3102.4081480902,24139.6391905673
3969.72072215971,23279.5586425813
4331.50704485006,22100.6025166262
6836.12269615919,36103.1503823938
5539.72074058605,32283.6142695892
5601.15717589108,24366.0478950929
5166.02407391768,26436.1361336639
4166.23829786889,22076.2210563424
7680.36970520462,33415.2114087219
5746.77571734386,27695.4126091692
2050.07426505554,13626.4218694285
6052.03385234553,28727.2807175217
4290.8128884081,26370.9333915079
3398.26444101973,19866.6133147896
4673.03762801256,23693.2594626408
3460.99332753914,23180.1239952924
3906.66315606329,23516.7819495558
4062.44109822612,18890.3336579158
2469.96003388638,17866.9940481835
6256.68056674179,32077.1361695808
5230.05967675477,28520.7317301026
3292.79459448208,20718.2869910747
6880.72238160489,32084.6087590405
5639.69633221522,24525.2185722683
4557.39277551159,24272.4414602975
6342.68849156753,27119.167604327
6317.20023129956,28035.5645577048
6232.37162245623,30568.3222349279
6032.96038115014,25825.0949200681
5830.87648030638,28026.4659426653
4907.13243413492,25578.0613813478
4541.05600439013,23732.9919528496
4429.29349848143,26932.2581391151
3957.93953161923,19829.1239377072
4688.1240829706,25276.632771783
3101.9054726476,19127.8552830415
8253.43394800777,34238.6373563555
6811.94299745749,31364.0114600772
3315.33712519498,17905.2101942171
4395.67274705139,20560.1164081173
4300.01696956517,21911.0891577287
6169.94767750448,32013.3573320243
4874.94640029226,24736.3687501018
5379.97777099213,26802.8021094322
4957.17986697695,24491.8463255758
4935.69431406303,25748.0684060967
7052.90342602169,29255.3511920308
4661.3435215111,26299.8514976706
7274.70590664431,32993.5282404156
2676.87079365467,16417.7067355806
5876.9206244541,27739.8683649863
5185.78136576692,26990.007336299
5323.91235311596,27087.1990234571
5569.45922413982,29672.2457041732
4246.51482033605,21513.5689512184
4500.18892449587,25732.8400044684
3472.13692533937,22489.5067959005
3392.31316028663,19851.9732170542
5455.29296210639,24414.0255006754
5672.31466794414,24838.6536220634
5079.50634009576,26154.0929361772
6383.40120181961,29007.950138017
8075.12702844072,37783.586419025
4263.4532509152,23860.635673738
1536.24668653878,13864.8503092894
6508.60778669338,27474.7388630859
3936.19885612641,20643.7932191687
3967.98707529896,22589.7380116916
6538.35705454505,28713.2018695218
4572.84048942349,24746.9817087318
3168.9234316182,18838.094190515
5271.95521962373,25604.7458412822
4791.66295634143,22913.9695234086
5008.64627884983,28836.0260063669
5577.9206016895,27399.0052680093
4444.00995231139,23793.2971379331
5966.56482277825,24515.9696385666
4669.27015727187,25327.3942709143
5497.67294587355,24445.7716598612
6645.25851972402,28152.7324104635
5652.7722362507,28794.9990507954
4511.10262170316,22627.906572093
6723.21142767664,26672.8897230236
6490.25578394318,33010.5755716082
5822.5954392621,22712.9724670013
5358.09760266716,27219.9158677207
4058.14088594094,24208.921155992
7040.97867279501,29861.000285064
4099.61061927931,23187.405960661
8280.99948952486,35721.2592453517
7298.91593927778,33977.9941236624
4646.44946134928,24907.5471599529
3460.36864953983,19891.3383904344
3934.39015445105,23635.1545792336
5385.32556373479,27757.2214042239
4629.96218230644,22016.7484786477
4478.6861009034,20634.4834347187
3572.57214910248,21038.2715272938
4932.45841278662,24249.4504888095
3822.64329581439,19496.8516623186
2498.0870951178,17662.1226443835
4429.66021956836,20648.9876057313
6378.49491359115,29457.9374434258
4136.97955608741,21161.0818931784
5911.94648333755,29650.1679983976
2573.17593756625,22568.5060950218
4916.65705171319,22918.012667766
5779.11080591519,29452.6607596315
5451.73004325007,28005.4895852868
5158.51429122342,25335.1544250595
4038.94098754194,21209.5302145118
3725.44348094963,24326.9458565238
3463.80681409263,16380.5048058054
5176.46989565019,24243.0201037632
3578.7880787228,17862.6773488528
4264.163834449,25583.1183812391
4615.86171170263,23466.1782698182
7765.79300784831,32248.0366246056
4022.07514745681,28434.3143905031
5353.07985842729,25959.1650395066
5116.94127434557,24463.3251993037
3557.21504880481,21271.3756466867
4893.0378708146,21542.2643709339
7166.82628763502,32481.0841482492
5677.25607961882,26839.4418366965
5061.84938298941,26122.5983940285
4366.25475149056,21134.022982596
1920.12916768923,13714.4198187718
6697.00582012126,28704.1881338114
2809.03989361277,16891.1405346527
6109.921266316,30927.8637323152
7863.65535382623,36749.2571850949
2834.1602585423,18188.6968695488
6052.67650306207,27440.1563880168
4606.7037658963,23162.0336368456
2641.78376128177,18063.8242395513
2727.99851932737,18377.8040253842
2597.69573963811,18373.1559944455
4203.64021674455,21117.5627681411
2807.36662250615,16728.3070898778
6031.87515946374,30489.7808058834
8150.16341078851,33353.2355101589
3069.45428594723,19814.4542482926
6181.60827121277,28430.8837460316
6153.56336150136,26544.9913002028
5498.30386842518,27677.0354240985
3487.43508758449,20808.5150097394
4820.82109005401,27262.0299825871
4579.40699724463,23973.1401609879
5844.48429983072,26870.3613830905
4441.34186584426,23880.6154241435
6465.46008002843,27025.1969420146
4438.12871334948,21642.5980332612
6579.067198369,30757.7480973859
3426.2344900009,19612.4616675548
3109.76713286283,19197.3795058836
9861.55990241361,39354.2362883969
4374.71361775935,21823.115615729
5447.34138731107,22304.6468437684
5954.85451105077,28562.2334735055
4274.32906143688,24346.2661996044
5775.29306647041,24748.446728711
5553.44679107763,29625.1458101501
4676.92923853746,24801.0973629868
5097.93955028797,27977.0992408517
4948.8991193923,22932.3564156923
8192.67784852427,34911.5961222813
3887.99585559076,21463.9596488947
3356.005599388,21605.0316619276
5056.68259875662,24018.3286604445
5465.72112416471,26376.9680285892
5654.78521836527,23407.0373576079
4312.45200093334,21382.113117059
3405.01079904321,20465.1001644599
6894.77776413424,29271.6903076263
4475.52441806967,23339.434282586
3701.73070601994,20169.3401702094
4645.58064658836,25150.602212088
4704.23615847717,26449.6850929306
6664.88043457046,28349.6384780963
5127.10593829579,24767.2446976979
6131.08067777678,31272.7645500698
4251.06197424161,18355.3394143574
5321.6679643724,25325.3283096357
4512.97113276375,27668.3219665779
5141.87529226036,29812.8060149096
3656.95496303369,21284.0555358014
3033.79770000804,17374.1751987968
7995.82007712195,34318.3750703467
5901.06323550863,26397.6409146318
3123.09295756258,22274.9134372707
4083.25112497937,20636.788063532
3221.77987310403,20411.1628097296
8298.21552332558,36134.3467191141
6968.61946465027,29390.8380725591
4602.28241495547,25509.8966078788
5814.79108884813,25948.5133247118
4378.49007812171,24395.9498936731
4285.62965807663,25050.212240437
3817.09574322464,19474.4013849075
4108.07409881073,24540.2123783914
7476.36120100503,31450.0178605903
4918.95781237184,25345.5802139895
5178.86785464138,25940.2785085017
5365.53114439864,25242.2006605195
6848.71381772801,31082.3471931796
4225.90425358283,20216.8509099008
3511.23927441194,20261.4440788659
7513.54539860479,34192.2178591447
4338.25517464207,18666.5162254676
3915.40104509019,18770.3507605541
3145.59032167506,17112.8958498312
3072.9264165233,16040.5998612791
4139.03978105302,23256.2854217518
5926.97872574979,25795.0794777374
6664.77220839458,25665.2224545258
6061.38253075338,26909.0100620992
4454.51405435712,22582.2716601218
5089.6249060769,26982.4456657869
3943.1053044799,19621.811641442
3924.17275763898,24095.0967843943
6326.97574846538,29777.6526766533
3476.61113209468,21154.5377115551
7932.9409482387,32093.7715040871
4864.52060905122,28500.8975869497
5321.80823994382,25636.8830556372
3892.20844289064,18026.8301603153
4138.4169653551,22007.5379532803
3024.47580154214,15204.5392631623
4725.61191744091,23555.8155207494
5628.4736073867,26040.9668157809
5486.45651624207,27823.028929533
3827.69526941787,23502.0781797286
3817.067043719,19998.9912013547
4246.70192248571,24352.3235042072
7244.09100476953,34580.9192336461
